alpha_acq_sh_in,alpha_ext_sh_in,alpha_acq_nosh_in,alpha_ext_nosh_in,Q0_in,alpha_acq_sh_out,alpha_ext_sh_out,alpha_acq_nosh_out,alpha_ext_nosh_out,Q0_out
0.05,0.65,0.95,0.05,0.05,0.050000274553895,0.6499845944345,0.950010294094682,0.049997853115201,0.0499837771058083
0.35,0.65,0.95,0.05,0.05,0.349995748499623,0.650003991915128,0.94999648885323,0.0499997442698259,0.0499862821961869
0.65,0.65,0.95,0.05,0.05,0.649998018547194,0.6500077706296,0.949998374271672,0.049998778878944,0.0500024351349566
0.95,0.65,0.95,0.05,0.05,0.949998963165854,0.650004312141391,0.950001327924838,0.0500008033341146,0.0499847850369406
0.05,0.95,0.95,0.05,0.05,0.0500001540876838,0.950020430396762,0.950004434584116,0.050000368786641,0.0500014722565538
0.35,0.95,0.95,0.05,0.05,0.349998952675378,0.949994350405177,0.950002153782407,0.0499995198042598,0.0500095336756203
0.65,0.95,0.95,0.05,0.05,0.6499981440993,0.949996564511821,0.949984307726481,0.0500000900483428,0.0500007369009836
0.95,0.95,0.95,0.05,0.05,0.950002071018389,0.950013065747044,0.950011606466433,0.0500011187541531,0.0500154175388161
0.05,0.05,0.05,0.35,0.05,0.049999748407572,0.0499989739328157,0.050001232768409,0.349997810772038,0.0499563790872344
0.35,0.05,0.05,0.35,0.05,0.34999701322522,0.0499976620776579,0.050000146497041,0.349996473756619,0.0500117127085105
0.65,0.05,0.05,0.35,0.05,0.64999481709674,0.0499999281018972,0.0499981596367434,0.349995218915865,0.0500047468813136
0.95,0.05,0.05,0.35,0.05,0.949992229812779,0.0500000214669853,0.0500015059951693,0.349995963973925,0.0499846795573831
0.05,0.35,0.05,0.35,0.05,0.0500013878045138,0.350002193737964,0.0500039345570258,0.350002285038499,0.0500290292056889
0.35,0.35,0.05,0.35,0.05,0.350003726913201,0.349990494940357,0.0500019786704797,0.349996021470361,0.0499989689396898
0.65,0.35,0.05,0.35,0.05,0.65000117890304,0.34998852404533,0.0499989981763065,0.349990399990929,0.0500325079483446
0.95,0.35,0.05,0.35,0.05,0.950007384293713,0.349994411575608,0.0500028346432373,0.349997901008464,0.050012826686725
0.05,0.65,0.05,0.35,0.05,0.0500002344851964,0.650013947408297,0.0500007602458936,0.350002009072341,0.0500006348083843
0.35,0.65,0.05,0.35,0.05,0.350002155377297,0.650001017813338,0.0499997243459802,0.350001592829358,0.0499865778838284
0.65,0.65,0.05,0.35,0.05,0.649988730903715,0.650005404022522,0.0499978243606165,0.349999538972043,0.0500354492105544
0.95,0.65,0.05,0.35,0.05,0.95003018938587,0.649998928973218,0.050004050397547,0.349995209922781,0.0499782615224831
0.05,0.95,0.05,0.35,0.05,0.0499993009434547,0.949993959104177,0.0500000899191946,0.350001002778299,0.0500238031963818
0.35,0.95,0.05,0.35,0.05,0.34998350054957,0.949999363481766,0.0499993685807567,0.349997751502087,0.0500045696389861
0.65,0.95,0.05,0.35,0.05,0.650040315667866,0.949998200434493,0.0500005164067261,0.34999347498524,0.0499787791632116
0.95,0.95,0.05,0.35,0.05,0.950032415334135,0.949999584816396,0.0500004850327969,0.34999818354845,0.0500211212784052
0.05,0.05,0.35,0.35,0.05,0.0500000800820999,0.049999649025267,0.349995524389669,0.349987072608201,0.0500147413986269
0.35,0.05,0.35,0.35,0.05,0.349998943624087,0.0499991348478943,0.349998610676266,0.349996913224459,0.0500096339965239
0.65,0.05,0.35,0.35,0.05,0.649988393415697,0.0499959231819957,0.350001735263504,0.349988153902814,0.0499997915467247
0.95,0.05,0.35,0.35,0.05,0.949994404712925,0.0500037286255974,0.349995770899113,0.350013104238315,0.0499902813171502
0.05,0.35,0.35,0.35,0.05,0.0500011345029634,0.350000608033952,0.350003608828047,0.350004917963815,0.0499882418462221
0.35,0.35,0.35,0.35,0.05,0.349994857706406,0.350005582300582,0.350000219679714,0.350006047072384,0.0499930520818452
0.65,0.35,0.35,0.35,0.05,0.650009392760694,0.349997001088923,0.350000258884393,0.350000693171751,0.0499979949381668
0.95,0.35,0.35,0.35,0.05,0.949991496279836,0.350002540275455,0.349997309967875,0.349998835474253,0.0499834436923265
0.05,0.65,0.35,0.35,0.05,0.0499984812340699,0.650002190843225,0.349992462055525,0.35000157658942,0.0500079704506788
0.35,0.65,0.35,0.35,0.05,0.349996496646781,0.650000954043207,0.349995578088055,0.349998409494219,0.0499975017555698
0.65,0.65,0.35,0.35,0.05,0.650005472358316,0.650001864880323,0.350004099309444,0.350000082980841,0.0499999863095582
0.95,0.65,0.35,0.35,0.05,0.95001094986219,0.650012164842337,0.349999827565625,0.350008196779527,0.0499851574422792
0.05,0.95,0.35,0.35,0.05,0.0500001522159437,0.949991203357058,0.34999354872707,0.350000731101318,0.0499908247365966
0.35,0.95,0.35,0.35,0.05,0.349996468088648,0.949987888270698,0.349992741299502,0.34999692026031,0.0499939675501082
0.65,0.95,0.35,0.35,0.05,0.650001116446219,0.949995221802965,0.350002918858081,0.34999889775645,0.0499841704731807
0.95,0.95,0.35,0.35,0.05,0.949992264857428,0.950005619351941,0.349992273419048,0.35000143869911,0.0500098610373243
0.05,0.05,0.65,0.35,0.05,0.0499994768179022,0.0499986143840943,0.650007764721522,0.349974291602848,0.0499997571168933
0.35,0.05,0.65,0.35,0.05,0.350003986910451,0.0500038536847569,0.650001047324622,0.350004581705434,0.0499994732963387
0.65,0.05,0.65,0.35,0.05,0.649998262513691,0.0500022054384317,0.649989404964799,0.349997828870983,0.0499945083556668
0.95,0.05,0.65,0.35,0.05,0.949999993288657,0.0500007946393453,0.650003927905345,0.350002392922761,0.0499975264829118
0.05,0.35,0.65,0.35,0.05,0.050000824034214,0.349997661542147,0.650009318254888,0.349993507843465,0.0499683427624404
0.35,0.35,0.65,0.35,0.05,0.349996914737858,0.350002837716602,0.64999872376211,0.349999178666621,0.0499907485209405
0.65,0.35,0.65,0.35,0.05,0.650000426103361,0.349999148515053,0.650009375880472,0.349998281919397,0.0499855619855225
0.95,0.35,0.65,0.35,0.05,0.949991000816226,0.34999786503613,0.650000378489494,0.349995527416468,0.0500204209238291
0.05,0.65,0.65,0.35,0.05,0.0500000538886525,0.649991626472911,0.649996847118018,0.349992649978958,0.0499744967964943
0.35,0.65,0.65,0.35,0.05,0.350000186241232,0.649998398032039,0.650005605421029,0.349996599834412,0.0500096282921731
0.65,0.65,0.65,0.35,0.05,0.649994515581056,0.650002860813402,0.649992782971822,0.350000587874092,0.0499862961005419
0.95,0.65,0.65,0.35,0.05,0.950000162614742,0.650007335760165,0.650000182213262,0.350003748404561,0.0500063856889028
0.05,0.95,0.65,0.35,0.05,0.0499989367090166,0.949996146082412,0.64999884532881,0.349999704369111,0.0500301038264297
0.35,0.95,0.65,0.35,0.05,0.349996664685023,0.94999728527182,0.649993337399792,0.350004637541133,0.0500385229606763
0.65,0.95,0.65,0.35,0.05,0.649996064797961,0.949998648793553,0.649999185072375,0.350000810532947,0.0500046758807002
0.95,0.95,0.65,0.35,0.05,0.949996707284299,0.949997330993938,0.649994157436595,0.349997012257518,0.0499759667509352
0.05,0.05,0.95,0.35,0.05,0.0500001215696102,0.0499891695653787,0.950029782041383,0.349925064983836,0.0499964766495395
0.35,0.05,0.95,0.35,0.05,0.34999717969913,0.0499990944517776,0.94999716093298,0.349993331357837,0.0499967734795064
0.65,0.05,0.95,0.35,0.05,0.649999167479109,0.0500012815464288,0.950004008511314,0.350011448841542,0.0499738954240456
0.95,0.05,0.95,0.35,0.05,0.950006127997767,0.0499994953279383,0.950001876830356,0.349993644922506,0.0500114138412755
0.05,0.35,0.95,0.35,0.05,0.0499991588294506,0.350000867154449,0.950002295896411,0.349994970485568,0.0500313974916935
0.35,0.35,0.95,0.35,0.05,0.349999613768887,0.350003599683987,0.949996700044721,0.350004751846427,0.0499734855256975
0.65,0.35,0.95,0.35,0.05,0.649998299777508,0.350004835054278,0.949987342581153,0.350006278604269,0.0500095039606094
0.95,0.35,0.95,0.35,0.05,0.949998010308263,0.349990515658646,0.950004069776696,0.349992338344236,0.050045924313963
0.05,0.65,0.95,0.35,0.05,0.0500001438776962,0.649996423249831,0.950004123675171,0.349997964425711,0.0500400937453378
0.35,0.65,0.95,0.35,0.05,0.349993999901926,0.650003490503877,0.9499906427518,0.350000517792068,0.0500471666746307
0.65,0.65,0.95,0.35,0.05,0.6500050383911,0.64999439715757,0.94999743369408,0.350000583333895,0.0499590454855934
0.95,0.65,0.95,0.35,0.05,0.949994147755206,0.650005080737174,0.949997981195338,0.350003547151573,0.0500167063437402
0.05,0.95,0.95,0.35,0.05,0.0499990717507899,0.949998207390308,0.94999613519758,0.350002704653889,0.0499860094860196
0.35,0.95,0.95,0.35,0.05,0.350003272498725,0.950003513018601,0.950005123653682,0.350001362647163,0.0500037103774957
0.65,0.95,0.95,0.35,0.05,0.650001453584991,0.950002341880463,0.950001975987107,0.349993070587516,0.0499799945391715
0.95,0.95,0.95,0.35,0.05,0.949995974975536,0.95001095212865,0.950001969733421,0.350003839674173,0.0500322534844599
0.05,0.05,0.05,0.65,0.05,0.0499998624155751,0.0500021589409698,0.0500018136090148,0.649996422835329,0.0499882042878426
0.35,0.05,0.05,0.65,0.05,0.349996707514947,0.0500010089654097,0.0500015566958609,0.650004538112626,0.0499775674143166
0.65,0.05,0.05,0.65,0.05,0.650007839431055,0.0499997509177774,0.0500006841029972,0.650007914169692,0.0499963650945574
0.95,0.05,0.05,0.65,0.05,0.949985790764913,0.0500007633818313,0.0499988343799487,0.65000460180454,0.049992500571534
0.05,0.35,0.05,0.65,0.05,0.0500004648056347,0.349996755889151,0.0500042447820306,0.649990469129989,0.0500262509740423
0.35,0.35,0.05,0.65,0.05,0.349997124605579,0.35000270861201,0.0500002623011824,0.649993908446049,0.0500139118521474
0.65,0.35,0.05,0.65,0.05,0.650000629735587,0.349991357150429,0.049999577444396,0.649985443560581,0.0499886192264967
0.95,0.35,0.05,0.65,0.05,0.950018526578788,0.349994475225685,0.0500013383571059,0.650000419002026,0.0500219875248149
0.05,0.65,0.05,0.65,0.05,0.049998493399471,0.650001245114254,0.0499929627694655,0.650002150359796,0.0499677654297557
0.35,0.65,0.05,0.65,0.05,0.349994663876714,0.649994258274091,0.0499991838878486,0.650001687783515,0.0499990567623172
0.65,0.65,0.05,0.65,0.05,0.649995584273711,0.650003600167111,0.0499999830499291,0.650003052665852,0.0500419443706051
0.95,0.65,0.05,0.65,0.05,0.949982900172472,0.649992672726512,0.0499984603375196,0.649990893900394,0.0500049721449614
0.05,0.95,0.05,0.65,0.05,0.0499999366875272,0.949992598209064,0.0499990678217728,0.649999982560985,0.0500201512186322
0.35,0.95,0.05,0.65,0.05,0.350001387385419,0.950002482364653,0.0500006921647582,0.649991824611789,0.0500008752860595
0.65,0.95,0.05,0.65,0.05,0.649981298949569,0.949995868577389,0.0499976195860654,0.650002274254803,0.0499558689189143
0.95,0.95,0.05,0.65,0.05,0.95000791754137,0.949997679424996,0.0500030635885196,0.650002448019222,0.0499962101821438
0.05,0.05,0.35,0.65,0.05,0.0500008236849681,0.0499982787878253,0.350006617343752,0.650010818848386,0.0499759451777209
0.35,0.05,0.35,0.65,0.05,0.349991067545488,0.0499995518475771,0.349991734372452,0.65001452609431,0.0500237385276705
0.65,0.05,0.35,0.65,0.05,0.64999609568622,0.049998834496364,0.349995312513784,0.650010968442075,0.0499843534780666
0.95,0.05,0.35,0.65,0.05,0.949991770292399,0.0499999844105332,0.349994635420444,0.650000622124935,0.0500012525153579
0.05,0.35,0.35,0.65,0.05,0.0499988049268723,0.350010248832405,0.349994337651879,0.65002216398716,0.0500037549063563
0.35,0.35,0.35,0.65,0.05,0.350000150385313,0.350008153094677,0.350001342885662,0.650003463670146,0.0499931739468593
0.65,0.35,0.35,0.65,0.05,0.649993437975354,0.350003099134483,0.350001231963688,0.64999921782146,0.0500014785575331
0.95,0.35,0.35,0.65,0.05,0.949996211165853,0.350004500251089,0.350000850208744,0.650003133749124,0.049973748245975
0.05,0.65,0.35,0.65,0.05,0.0500003595370799,0.650000054505654,0.349995891563594,0.650005565723404,0.0499756261706352
0.35,0.65,0.35,0.65,0.05,0.350000866688788,0.650003325659782,0.350000192876905,0.650005324743688,0.0499896602705121
0.65,0.65,0.35,0.65,0.05,0.649991241516545,0.649998871143907,0.349994864198379,0.649994262959808,0.0499784585554153
0.95,0.65,0.35,0.65,0.05,0.949989911401644,0.650007887859829,0.349995347554795,0.650009719887748,0.0500239073298872
0.05,0.95,0.35,0.65,0.05,0.0500003001434379,0.950003084224591,0.350003902480239,0.650003448223288,0.0499720976004028
0.35,0.95,0.35,0.65,0.05,0.349999902013224,0.950006053433754,0.350000012607779,0.650000016001286,0.0499891298823059
0.65,0.95,0.35,0.65,0.05,0.650007706193719,0.949996091861976,0.350004755571717,0.650007581483806,0.0500062376668211
0.95,0.95,0.35,0.65,0.05,0.949988632084569,0.949998550822784,0.350001706785406,0.650001261114085,0.050005875658826
0.05,0.05,0.65,0.65,0.05,0.0499998409504769,0.0500010153191397,0.649993210361572,0.649923242839577,0.0500137415074278
0.35,0.05,0.65,0.65,0.05,0.349993965704925,0.0499958072323352,0.649992066784762,0.649985289899632,0.0500035709701478
0.65,0.05,0.65,0.65,0.05,0.649998721317388,0.0500009686220437,0.650001668604091,0.650011541321874,0.050009515020065
0.95,0.05,0.65,0.65,0.05,0.950000369601185,0.0500057341341744,0.650005129165947,0.649999912740896,0.0499881488503888
0.05,0.35,0.65,0.65,0.05,0.0499993376433849,0.349992260686122,0.64998953230679,0.649981810129248,0.0499907545745373
0.35,0.35,0.65,0.65,0.05,0.349994491320103,0.349999733269215,0.649987510871142,0.650003872346133,0.050033641513437
0.65,0.35,0.65,0.65,0.05,0.649999179877341,0.350002143532038,0.650000526104122,0.649996849708259,0.0499775246717036
0.95,0.35,0.65,0.65,0.05,0.949995243689045,0.350003786850721,0.649997529253596,0.650009129451064,0.0500117869232781
0.05,0.65,0.65,0.65,0.05,0.0499996870057657,0.649999860062962,0.649994233681355,0.649998028675327,0.0500206272408832
0.35,0.65,0.65,0.65,0.05,0.349997916579014,0.649998130218592,0.649997829488711,0.649998270586366,0.0499846061284188
0.65,0.65,0.65,0.65,0.05,0.649998160195537,0.650005053845234,0.650001088739373,0.649998594890349,0.0499970903620124
0.95,0.65,0.65,0.65,0.05,0.949983894010074,0.649998457171023,0.650003692368045,0.650002590147778,0.0499601224437356
0.05,0.95,0.65,0.65,0.05,0.0499997399747372,0.949993932619691,0.649978693574667,0.650003544986248,0.0499831717461348
0.35,0.95,0.65,0.65,0.05,0.350002996558032,0.950000837103289,0.650012788391905,0.649997963038913,0.0500238820895902
0.65,0.95,0.65,0.65,0.05,0.650006587617099,0.949996507260948,0.6499955477193,0.649998382665217,0.0499960668385029
0.95,0.95,0.65,0.65,0.05,0.94999536476098,0.95000276574865,0.649993890547194,0.649999891407788,0.0500370650552213
0.05,0.05,0.95,0.65,0.05,0.0500008761882782,0.0499962475150824,0.949995685368776,0.650027718394995,0.0499885436147451
0.35,0.05,0.95,0.65,0.05,0.349997063814953,0.0500036499797716,0.94999789117719,0.650001310474181,0.0500031367337215
0.65,0.05,0.95,0.65,0.05,0.650004373514093,0.0500038411701098,0.949996633105911,0.65000805305317,0.050020573893562
0.95,0.05,0.95,0.65,0.05,0.949995381641202,0.0499964981572703,0.950004059239291,0.64997946866788,0.0500255306251347
0.05,0.35,0.95,0.65,0.05,0.0499995509162545,0.350001084152609,0.950001445133239,0.649967746343464,0.0499949441291392
0.35,0.35,0.95,0.65,0.05,0.350002499064431,0.349994476535358,0.950005993247032,0.649973350693472,0.0500254849903286
0.65,0.35,0.95,0.65,0.05,0.650000218942296,0.34999476763187,0.949994416587288,0.649992267542984,0.050001734867692
0.95,0.35,0.95,0.65,0.05,0.949995165225118,0.349994364660233,0.949987928848714,0.649981725029647,0.0500103123486042
0.05,0.65,0.95,0.65,0.05,0.0500002247281373,0.649997930508107,0.950003711041063,0.649999840185046,0.0500117391347885
0.35,0.65,0.95,0.65,0.05,0.349997289042221,0.649995504558319,0.949990481603891,0.650002118694829,0.0499718273931649
0.65,0.65,0.95,0.65,0.05,0.649999858163937,0.650007436772285,0.949997050011007,0.64999873436318,0.0499949374789139
0.95,0.65,0.95,0.65,0.05,0.949999142787419,0.649998358334415,0.949995124596171,0.649996888241731,0.0500422875629738
0.05,0.95,0.95,0.65,0.05,0.0500001163163688,0.949989105429268,0.950010530243162,0.64999883598648,0.0500012304983102
0.35,0.95,0.95,0.65,0.05,0.349997787969187,0.949998415424488,0.949986101011746,0.650006960582687,0.0500154277251568
0.65,0.95,0.95,0.65,0.05,0.649999684188515,0.949995749280788,0.950005288934335,0.649994719075039,0.0500104705570266
0.95,0.95,0.95,0.65,0.05,0.949998454831075,0.949998830357799,0.949990371154854,0.649998421344208,0.0499839630210772
0.05,0.05,0.05,0.95,0.05,0.0500009345414583,0.0499968460644595,0.0500032236159313,0.950019098410849,0.0499726952111814
0.35,0.05,0.05,0.95,0.05,0.349998523015529,0.049998770467937,0.0499992049299181,0.949993651825935,0.0499896970577538
0.65,0.05,0.05,0.95,0.05,0.650018064101459,0.0499985127244145,0.0500016450532712,0.950010370550444,0.0499808632303029
0.95,0.05,0.05,0.95,0.05,0.949988375743487,0.0500020013855647,0.0499941345356092,0.950009718154433,0.0499903311388152
0.05,0.35,0.05,0.95,0.05,0.0499997005681507,0.349999747297261,0.0500013715645764,0.950005537248217,0.0499923003371805
0.35,0.35,0.05,0.95,0.05,0.349994194926694,0.349993123323657,0.0499950360972434,0.949992286856286,0.050003794953227
0.65,0.35,0.05,0.95,0.05,0.650007000193,0.349995648371987,0.0499990803655237,0.950008294428699,0.0500020161271095
0.95,0.35,0.05,0.95,0.05,0.949982534279115,0.350000398466364,0.0500009164679796,0.950007260544226,0.0500371089437976
0.05,0.65,0.05,0.95,0.05,0.0499986451841323,0.649998222688282,0.0499942527280837,0.949997914842243,0.0499967135783663
0.35,0.65,0.05,0.95,0.05,0.350001772239921,0.64999348459969,0.0500033960706787,0.950003848745837,0.0499906864424702
0.65,0.65,0.05,0.95,0.05,0.649989174329676,0.649997459142469,0.0499978427542374,0.949992173817009,0.0500033921562135
0.95,0.65,0.05,0.95,0.05,0.950010671062046,0.649995988977025,0.050002383402898,0.95000370471098,0.0499861849384615
0.05,0.95,0.05,0.95,0.05,0.0500003492470569,0.949995813403802,0.0500028488277167,0.95000296319995,0.050043410361468
0.35,0.95,0.05,0.95,0.05,0.350001268903725,0.950001981749665,0.0500007671944331,0.949997989751864,0.0499743444379419
0.65,0.95,0.05,0.95,0.05,0.649991899495944,0.949999297503382,0.0500030171824619,0.95000374619849,0.0500287526519969
0.95,0.95,0.05,0.95,0.05,0.950006634346209,0.95000280381646,0.0499986406648532,0.949997149873525,0.0500308519694954
0.05,0.05,0.35,0.95,0.05,0.0499990548196365,0.0500100764475064,0.349987176887225,0.949978585755161,0.0499752756441012
0.35,0.05,0.35,0.95,0.05,0.35000032314565,0.0500022628693841,0.350000907608774,0.95002894999925,0.0500220585381612
0.65,0.05,0.35,0.95,0.05,0.649998654378578,0.0500009465031326,0.349996971315704,0.949955700314604,0.0499923652969301
0.95,0.05,0.35,0.95,0.05,0.949997922320108,0.0499966718853102,0.349997623165109,0.949990833770698,0.0500282133984911
0.05,0.35,0.35,0.95,0.05,0.0499996593807737,0.350002988987399,0.349996037504752,0.950010619264503,0.0500345039072272
0.35,0.35,0.35,0.95,0.05,0.350005390297156,0.349994761141716,0.350007500994252,0.949994210881414,0.0500217019289266
0.65,0.35,0.35,0.95,0.05,0.649999814340845,0.350000474485569,0.349997613579035,0.949992954265326,0.0499737687641755
0.95,0.35,0.35,0.95,0.05,0.949999599950388,0.349999497877434,0.350005246582441,0.949999725795351,0.0500216017244384
0.05,0.65,0.35,0.95,0.05,0.0499994510610122,0.649994789273478,0.349992216972169,0.950004843616625,0.0500097513431683
0.35,0.65,0.35,0.95,0.05,0.350003895669943,0.649995920364745,0.350001030776184,0.950002163590398,0.0500119090138469
0.65,0.65,0.35,0.95,0.05,0.650004384842759,0.6499886709571,0.350004927684495,0.949998030038842,0.0500052870556829
0.95,0.65,0.35,0.95,0.05,0.949982534679293,0.649997757092933,0.349991381437576,0.950006649502029,0.0500249247270403
