alpha_sh_in,alpha_nosh_in,Q0_in,alpha_sh_out,alpha_nosh_out,Q0_out
0.05,0.05,0.05,0.0499994228666765,0.0499991950564436,0.0500116687617265
0.35,0.05,0.05,0.349987858906388,0.0499998051673174,0.0500007979571819
0.65,0.05,0.05,0.649988174438477,0.0499987602233887,0.0500421524047852
0.95,0.05,0.05,0.949981965590268,0.0500000226311386,0.0499595575965941
0.05,0.35,0.05,0.04999990016222,0.349996756762266,0.0500246062874794
0.35,0.35,0.05,0.349999925645534,0.350005683954805,0.0499424854060635
0.65,0.35,0.05,0.650008231401443,0.350005924701691,0.04997318983078
0.95,0.35,0.05,0.949998449534178,0.349997153505683,0.0499737579375505
0.05,0.65,0.05,0.0500004976056516,0.650010864483193,0.049976299982518
0.35,0.65,0.05,0.350003190338612,0.650001838803291,0.0499429255723953
0.65,0.65,0.05,0.650003701448441,0.649994820356369,0.0499921441078186
0.95,0.65,0.05,0.949987083673477,0.650003254413605,0.0499646067619324
0.05,0.95,0.05,0.0499983875124599,0.949983766586229,0.0499685018148739
0.35,0.95,0.05,0.349995091557503,0.949999056756496,0.0499821081757545
0.65,0.95,0.05,0.649997510015965,0.94999822229147,0.05002361536026
0.95,0.95,0.05,0.949993848800659,0.95000821352005,0.0499985218048096
0.05,0.05,0.35,0.0500004752539098,0.0500011029653251,0.349989408161491
0.35,0.05,0.35,0.349987842142582,0.0499993115663528,0.349986054003239
0.65,0.05,0.35,0.650027113035321,0.0500013548880816,0.349997801706195
0.95,0.05,0.35,0.950008917599916,0.0500005558133125,0.349996566772461
0.05,0.35,0.35,0.0500007793307304,0.350007347762585,0.350000232458115
0.35,0.35,0.35,0.350000478327274,0.349998973309994,0.350007459521294
0.65,0.35,0.35,0.650001265108585,0.350004449486732,0.350097507238388
0.95,0.35,0.35,0.95000159740448,0.349996984004974,0.349976301193237
0.05,0.65,0.35,0.0500016808509827,0.650000631809235,0.350036278367043
0.35,0.65,0.35,0.34999792277813,0.649993814527988,0.34994288533926
0.65,0.65,0.35,0.649991512298584,0.649998664855957,0.350039005279541
0.95,0.65,0.35,0.950001120567322,0.649997115135193,0.349954009056091
0.05,0.95,0.35,0.0499991178512573,0.949969887733459,0.35002014040947
0.35,0.95,0.35,0.350000739097595,0.949991464614868,0.350050538778305
0.65,0.95,0.35,0.649989247322083,0.950008153915405,0.349982172250748
0.95,0.95,0.35,0.949999570846558,0.950002908706665,0.349963486194611
0.05,0.05,0.65,0.0499993022531271,0.0499994140118361,0.650002984795719
0.35,0.05,0.65,0.349986046552658,0.0499992966651917,0.649969339370728
0.65,0.05,0.65,0.650003500282764,0.0499998331069946,0.649994939565659
0.95,0.05,0.65,0.950020551681519,0.0500013753771782,0.65001454949379
0.05,0.35,0.65,0.0500005129724741,0.350003130733967,0.650008376687765
0.35,0.35,0.65,0.349993439391255,0.349992865230888,0.650002868380398
0.65,0.35,0.65,0.649999335408211,0.349997527897358,0.650016665458679
0.95,0.35,0.65,0.950006783008575,0.3500070348382,0.650027088820934
0.05,0.65,0.65,0.0500001460313797,0.650008857250214,0.64999034255743
0.35,0.65,0.65,0.349995814263821,0.650001540780067,0.650008760392666
0.65,0.65,0.65,0.649994377861731,0.649999410728924,0.650028291274793
0.95,0.65,0.65,0.950002249330282,0.649997876957059,0.650036547333002
0.05,0.95,0.65,0.0500000715255737,0.950000695884228,0.650046296417713
0.35,0.95,0.65,0.349998116493225,0.949997305870056,0.650073766708374
0.65,0.95,0.65,0.649995364248753,0.949997037649155,0.649960160255432
