alpha_in,lapse_in,Q0_in,alpha_out,lapse_out,Q0_out
0.05,0.05,0.05,0.0500006461516023,0.0499976981664076,0.0499965996714309
0.35,0.05,0.05,0.350002586841583,0.0499981939792633,0.0499943792819977
0.65,0.05,0.05,0.649991385638714,0.0499943271279335,0.0499832928180695
0.95,0.05,0.05,0.949999064207077,0.0500000715255737,0.0499771237373352
0.05,0.35,0.05,0.0500036156736314,0.350034822593443,0.0499671598663554
0.35,0.35,0.05,0.3500125259161,0.350004106760025,0.0500354841351509
0.65,0.35,0.05,0.649996101856232,0.350000277161598,0.0499540418386459
0.95,0.35,0.05,0.95001009106636,0.350001931190491,0.0500020980834961
0.05,0.65,0.05,0.0499973297119141,0.650003433227539,0.0500507354736328
0.35,0.65,0.05,0.350004136562347,0.65000762976706,0.0500103533267975
0.65,0.65,0.05,0.649997062981129,0.649997107684612,0.0500077456235886
0.95,0.65,0.05,0.950009375810623,0.649998247623444,0.0499502122402191
0.05,0.95,0.05,0.0499542057514191,0.949958592653275,0.0500350892543793
0.35,0.95,0.05,0.349296852946281,0.949887186288834,0.0499103963375092
0.65,0.95,0.05,0.643693909049034,0.949502423405647,0.0500676408410072
0.95,0.95,0.05,0.937631368637085,0.949349641799927,0.0499696731567383
0.05,0.05,0.35,0.0500000170140993,0.0499994000419974,0.349997136341699
0.35,0.05,0.35,0.350000381469727,0.0500001907348633,0.350003719329834
0.65,0.05,0.35,0.650004953145981,0.0499983727931976,0.350038409233093
0.95,0.05,0.35,0.95000147819519,0.0500004291534424,0.349974483251572
0.05,0.35,0.35,0.0500082671642303,0.350020796060562,0.350033402442932
0.35,0.35,0.35,0.350001513957977,0.350004732608795,0.349981516599655
0.65,0.35,0.35,0.650010420009494,0.350000957027078,0.349992008879781
0.95,0.35,0.35,0.949998140335083,0.350001931190491,0.349946141242981
0.05,0.65,0.35,0.0500733517110348,0.650302927009761,0.349944634363055
0.35,0.65,0.35,0.350022830069065,0.650019265711308,0.349993318319321
0.65,0.65,0.35,0.650005489587784,0.650006949901581,0.350013822317123
0.95,0.65,0.35,0.950043529272079,0.650012820959091,0.350048542022705
0.05,0.95,0.35,0.0501107374439016,0.950204067165032,0.349899095366709
0.35,0.95,0.35,0.336835980415344,0.948069214820862,0.350063681602478
0.65,0.95,0.35,0.654411852359772,0.950319200754166,0.349974513053894
0.95,0.95,0.35,0.924008786678314,0.948643803596497,0.350208550691605
0.05,0.05,0.65,0.0500001385807991,0.0500023290514946,0.649999216198921
0.35,0.05,0.65,0.34999668598175,0.0500000715255737,0.650009512901306
0.65,0.05,0.65,0.650000765919685,0.049998514354229,0.649993062019348
0.95,0.05,0.65,0.95000583678484,0.0500063598155975,0.650017529726028
0.05,0.35,0.65,0.0499906837940216,0.349918596446514,0.650044038891792
0.35,0.35,0.65,0.350007943809032,0.350002117455006,0.649999499320984
0.65,0.35,0.65,0.650006897747517,0.350003346800804,0.649999633431435
0.95,0.35,0.65,0.949988216161728,0.349990725517273,0.649985432624817
0.05,0.65,0.65,0.0499977990984917,0.65000232309103,0.649993263185024
0.35,0.65,0.65,0.349927254021168,0.649942733347416,0.649960540235043
0.65,0.65,0.65,0.649995654821396,0.649996727705002,0.650048434734344
0.95,0.65,0.65,0.950014986097813,0.650001473724842,0.649964682757854
0.05,0.95,0.65,0.0505673526786268,0.950756699312478,0.650009648874402
0.35,0.95,0.65,0.345730781555176,0.949406743049622,0.650107741355896
0.65,0.95,0.65,0.65391465544235,0.950289486441761,0.64997080154717
0.95,0.95,0.65,0.946155548095703,0.949797391891479,0.650099635124207
0.05,0.05,0.95,0.0500010419636965,0.0500000361353159,0.949995243921876
0.35,0.05,0.95,0.350001335144043,0.0499982535839081,0.949981719255447
0.65,0.05,0.95,0.649999260902405,0.0499992072582245,0.950021713972092
0.95,0.05,0.95,0.949996769428253,0.0500033795833588,0.949998557567596
0.05,0.35,0.95,0.0500041839259211,0.350026756030275,0.949987780622905
0.35,0.35,0.95,0.350009744055569,0.350009211339056,0.950028667692095
0.65,0.35,0.95,0.650002837181091,0.349998980760574,0.949973195791245
0.95,0.35,0.95,0.950007744133472,0.350004106760025,0.949986234307289
0.05,0.65,0.95,0.0500125923426822,0.650051387259737,0.950046530342661
0.35,0.65,0.95,0.350025177001953,0.650018781423569,0.9500552713871
0.65,0.65,0.95,0.649947255849838,0.649978443980217,0.95001694560051
0.95,0.65,0.95,0.949940651655197,0.64997717179358,0.949939306825399
0.05,0.95,0.95,0.0497665107250214,0.949939519166946,0.949949592351913
0.35,0.95,0.95,0.350881636142731,0.950123876333237,0.950006604194641
0.65,0.95,0.95,0.645414840430021,0.949614761397243,0.949815632775426
0.95,0.95,0.95,0.945682741701603,0.949772261083126,0.95000945776701
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
