"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"13858","log_lik[2,31,113]",2.65252795089812,3.12690179353751,1.27826645869966,0.733567851517927,0.000625254304369189,3.69204218705627,1.00024694104512,7955.93471239255,4381.43606847794
"13859","log_lik[3,31,113]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13860","log_lik[1,32,113]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13861","log_lik[2,32,113]",1.99910429362536,2.18074908552747,0.527234521673778,0.257222098384821,1.13223727437023,2.39700206703302,1.00191493294074,2402.3888640668,5142.97894472273
"13862","log_lik[3,32,113]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13863","log_lik[1,33,113]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13864","log_lik[2,33,113]",2.57907465049916,3.00089360435845,1.09628140770786,0.520293665302543,0.278808170459975,3.40583151937419,1.00065993559984,5975.63207862099,3702.29465042317
"13865","log_lik[3,33,113]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13866","log_lik[1,34,113]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13867","log_lik[2,34,113]",1.99566725240699,2.33720973393654,0.912607075935246,0.462190776915972,0.130370724138446,2.69781320889343,1.00062829731263,2813.26192774508,3578.77125736907
"13868","log_lik[3,34,113]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13869","log_lik[1,35,113]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13870","log_lik[2,35,113]",1.81322657827402,2.31151728371826,1.59735627564878,1.21018456894101,-1.26843543920754,3.28310751880428,1.00049177148888,8540.68928576438,3382.91829758929
"13871","log_lik[3,35,113]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13872","log_lik[1,36,113]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13873","log_lik[2,36,113]",2.66321868878064,3.00333051393337,0.890619976600867,0.380947681312315,0.876347071023455,3.30519139936492,0.999967426062987,3018.02269409734,2620.90475145451
"13874","log_lik[3,36,113]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13875","log_lik[1,37,113]",NA,NA,NA,NA,NA,NA,NA,NA,NA
